YEAR,DOY,mjm2,Month,Day
2020,347,14.497056,12,13
2020,348,14.570496,12,14
2020,349,14.877216,12,15
2020,350,14.587776,12,16
2020,351,14.80896,12,17
2020,352,14.85216,12,18
2020,353,14.612832,12,19
2020,354,14.935104,12,20
2020,355,14.715648,12,21
2020,356,14.944608,12,22
2020,357,15.078528,12,23
2020,358,14.973984,12,24
2020,359,14.786496,12,25
2020,360,14.698368,12,26
2020,361,14.803776,12,27
2020,362,14.35104,12,28
2020,363,14.194656,12,29
2020,364,14.6232,12,30
2020,365,14.529024,12,31
2020,366,14.967936,12,32
2021,1,14.8824,1,1
2021,2,14.896224,1,2
2021,3,14.019264,1,3
2021,4,14.710464,1,4
2021,5,14.41584,1,5
2021,6,14.802912,1,6
2021,7,14.872896,1,7
2021,8,14.680224,1,8
2021,9,14.522976,1,9
2021,10,14.090976,1,10
2021,11,14.217984,1,11
2021,12,14.637024,1,12
2021,13,14.64048,1,13
2021,14,14.306976,1,14
2021,15,14.115168,1,15
2021,16,13.801536,1,16
2021,17,14.742432,1,17
2021,18,14.75712,1,18
2021,19,14.688,1,19
2021,20,14.611104,1,20
2021,21,14.548896,1,21
2021,22,14.319936,1,22
2021,23,14.14368,1,23
2021,24,13.946688,1,24
2021,25,13.956192,1,25
2021,26,13.615776,1,26
2021,27,14.01408,1,27
2021,28,13.939776,1,28
2021,29,13.738464,1,29
2021,30,13.243392,1,30
2021,31,13.951008,1,31
2021,32,13.729824,2,1
2021,33,13.453344,2,2
2021,34,13.751424,2,3
2021,35,13.920768,2,4
2021,36,13.97952,2,5
2021,37,13.96224,2,6
2021,38,13.80672,2,7
2021,39,13.27968,2,8
2021,40,12.55392,2,9
2021,41,13.146624,2,10
2021,42,13.291776,2,11
2021,43,13.27104,2,12
2021,44,13.242528,2,13
2021,45,13.332384,2,14
2021,46,12.930624,2,15
2021,47,13.103424,2,16
2021,48,13.22352,2,17
2021,49,13.14576,2,18
2021,50,12.909888,2,19
2021,51,12.906432,2,20
2021,52,12.521088,2,21
2021,53,12.401856,2,22
2021,54,12.51072,2,23
2021,55,12.82176,2,24
2021,56,12.58416,2,25
2021,57,12.343968,2,26
2021,58,12.283488,2,27
2021,59,12.10032,2,28
2021,60,11.97072,3,1
2021,61,11.848032,3,2
2021,62,11.595744,3,3
2021,63,11.75472,3,4
2021,64,11.96208,3,5
2021,65,11.945664,3,6
2021,66,11.977632,3,7
2021,67,11.71152,3,8
2021,68,11.807424,3,9
2021,69,11.70288,3,10
2021,70,11.108448,3,11
2021,71,10.987488,3,12
2021,72,10.953792,3,13
2021,73,10.578816,3,14
2021,74,10.26432,3,15
2021,75,10.747296,3,16
2021,76,10.863936,3,17
2021,77,10.573632,3,18
2021,78,9.998208,3,19
2021,79,10.353312,3,20
2021,80,10.853568,3,21
2021,81,10.646208,3,22
2021,82,10.641024,3,23
2021,83,9.772704,3,24
2021,84,9.88848,3,25
2021,85,10.259136,3,26
2021,86,10.326528,3,27
2021,87,10.347264,3,28
2021,88,10.145952,3,29
2021,89,10.086336,3,30
2021,90,9.838368,3,31
2021,91,9.574848,4,1
2021,92,9.49968,4,2
2021,93,9.467712,4,3
2021,94,9.40464,4,4
2021,95,9.191232,4,5
2021,96,9.25776,4,6
2021,97,8.897472,4,7
2021,98,8.869824,4,8
2021,99,8.77824,4,9
2021,100,8.761824,4,10
2021,101,9.194688,4,11
2021,102,9.103968,4,12
2021,103,8.996832,4,13
2021,104,8.854272,4,14
2021,105,8.751456,4,15
2021,106,8.727264,4,16
2021,107,8.379072,4,17
2021,108,8.375616,4,18
2021,109,8.34192,4,19
2021,110,8.123328,4,20
2021,111,7.604928,4,21
2021,112,7.629984,4,22
2021,113,7.658496,4,23
2021,114,8.024832,4,24
2021,115,8.135424,4,25
2021,116,8.080128,4,26
2021,117,8.015328,4,27
2021,118,7.925472,4,28
2021,119,7.839072,4,29
2021,120,7.740576,4,30
2021,121,7.513344,5,1
2021,122,7.160832,5,2
2021,123,7.03296,5,3
2021,124,6.910272,5,4
2021,125,7.143552,5,5
2021,126,7.36128,5,6
2021,127,7.30944,5,7
2021,128,7.180704,5,8
2021,129,6.895584,5,9
2021,130,6.780672,5,10
2021,131,6.802272,5,11
2021,132,6.9552,5,12
2021,133,6.92064,5,13
2021,134,6.875712,5,14
2021,135,6.777216,5,15
2021,136,6.479136,5,16
2021,137,6.539616,5,17
2021,138,6.234624,5,18
2021,139,5.82336,5,19
2021,140,5.97456,5,20
2021,141,6.180192,5,21
2021,142,6.530112,5,22
2021,143,6.498144,5,23
2021,144,6.429888,5,24
2021,145,6.38064,5,25
2021,146,6.279552,5,26
2021,147,6.156864,5,27
2021,148,6.111936,5,28
2021,149,6.250176,5,29
2021,150,6.12576,5,30
2021,151,6.034176,5,31
