,temp_high,temp_avg,temp_low,dp_high,dp_avg,dp_low
319,38.2,29.0,9.4,21.4,18.4,6.4
320,36.3,28.6,9.4,22.0,19.2,6.4
321,32.5,24.1,9.4,23.9,20.4,6.4
322,37.3,26.9,9.4,23.3,20.3,6.4
323,27.1,21.2,9.4,20.4,14.7,6.4
324,31.9,22.1,9.4,13.6,9.9,6.4
325,33.9,25.2,9.4,16.0,13.0,6.4
326,36.2,28.3,9.4,17.8,13.5,6.4
327,30.0,23.9,9.4,19.6,16.1,6.4
328,35.1,26.2,9.4,18.8,16.5,6.4
329,28.4,22.5,9.4,19.1,16.9,6.4
330,29.3,22.3,9.4,16.7,13.1,6.3
331,9.4,9.4,9.4,6.4,6.4,6.4
332,9.4,9.4,9.4,6.4,6.4,6.4
333,9.4,9.4,9.4,6.4,6.4,6.4
334,,,,,,
335,9.4,9.4,9.4,6.4,6.4,6.4
336,9.4,9.4,9.4,6.4,6.4,6.4
337,9.4,9.4,9.4,6.4,6.4,6.4
338,9.4,9.4,9.4,6.4,6.4,6.4
339,18.4,11.2,9.4,18.2,8.9,6.4
340,25.9,21.9,9.4,23.0,17.2,6.4
341,29.9,21.6,9.4,13.4,11.5,6.4
342,34.4,23.4,9.4,16.1,12.8,6.4
343,34.8,24.6,9.4,17.8,13.8,6.4
344,35.7,26.0,9.4,18.9,14.7,6.4
345,36.4,26.4,9.4,19.8,16.0,6.4
346,35.3,27.8,9.4,23.3,20.0,6.4
347,36.9,29.4,9.4,24.3,21.5,6.4
348,38.5,29.3,9.4,26.4,22.0,6.4
349,37.6,27.6,9.4,26.4,22.5,6.4
350,33.0,25.5,9.4,25.1,22.5,6.4
351,37.1,25.3,9.4,26.1,21.9,6.4
352,,,,,,
353,23.7,22.0,9.4,20.8,20.3,6.4
354,25.5,20.8,9.4,21.4,19.6,6.4
355,19.4,17.6,9.4,17.8,16.4,6.4
356,25.4,19.8,9.4,20.2,17.8,6.4
357,25.5,20.1,9.4,19.4,17.9,6.4
358,29.3,22.5,9.4,20.1,17.9,6.4
359,32.5,23.0,9.4,18.6,16.0,6.4
360,33.8,24.1,9.4,19.3,16.5,6.4
361,33.8,24.5,9.4,21.4,16.3,6.4
362,33.9,25.4,9.4,20.4,17.7,6.4
363,28.5,22.0,9.4,22.0,17.9,6.4
364,27.4,21.3,9.4,20.7,18.1,6.4
365,31.4,23.1,9.4,20.0,16.9,6.4
366,35.0,23.9,9.4,21.0,17.0,6.4
367,35.7,24.2,9.4,24.2,19.2,6.4
368,33.5,24.7,9.4,21.6,18.9,6.4
369,36.1,25.1,9.4,22.8,19.4,6.4
370,31.1,23.7,9.4,23.4,20.1,6.4
371,30.8,21.2,9.4,19.7,18.0,6.4
372,,,,,,
373,33.9,27.6,9.4,15.2,13.9,6.4
374,31.2,23.6,9.4,21.7,17.2,6.4
375,31.2,23.3,9.4,20.3,17.2,6.4
376,32.0,25.6,9.4,22.7,20.2,6.4
377,37.8,27.4,9.4,25.0,22.3,6.4
378,26.2,21.4,9.4,22.4,19.4,6.4
379,34.9,24.4,9.4,19.6,17.2,6.4
380,33.7,25.4,9.4,21.7,18.8,6.4
381,33.5,25.7,9.4,20.9,18.2,6.4
382,36.2,25.8,9.4,23.0,17.9,6.4
383,,,,,,
384,,,,,,
385,,,,,,
386,9.4,9.4,9.4,6.4,6.4,6.4
387,23.4,20.6,9.4,21.7,18.4,6.4
388,32.9,24.7,19.7,23.9,20.6,19.3
389,34.3,25.4,18.5,22.7,19.3,16.5
390,32.2,24.3,16.7,20.8,17.4,13.6
391,34.2,24.4,18.0,21.4,17.6,15.1
392,35.6,25.7,16.9,20.6,17.3,15.2
393,34.3,25.5,9.4,19.1,16.3,6.4
394,35.4,24.5,18.0,23.2,17.4,15.1
395,24.1,20.2,9.4,21.9,18.5,6.4
396,33.0,23.1,17.1,23.0,19.1,16.9
397,28.6,23.3,20.9,24.2,20.3,17.9
398,23.8,20.5,17.3,21.2,19.3,17.1
399,29.7,23.1,17.2,21.4,17.6,15.5
400,21.9,18.1,0.3,17.6,15.7,14.0
401,23.4,16.9,12.1,14.9,13.1,11.2
402,24.8,18.0,11.5,16.7,13.2,9.7
403,23.9,19.8,15.4,18.4,16.3,14.1
404,31.1,24.3,16.9,17.9,15.7,10.5
405,29.5,20.5,13.3,20.9,16.0,13.1
406,28.8,22.8,17.5,23.0,20.1,16.1
407,28.6,22.4,20.2,24.2,21.6,20.1
408,21.2,18.6,15.5,21.1,18.0,15.0
409,25.0,17.0,11.0,15.2,12.1,8.2
410,26.0,18.8,10.0,16.6,13.6,9.6
411,24.5,24.4,0.0,15.7,15.7,15.7
412,,,,,,
413,,,,,,
414,,,,,,
415,,,,,,
416,,,,,,
417,26.2,22.8,21.4,18.1,16.9,16.3
418,28.7,21.3,17.3,22.8,18.3,15.7
419,28.3,21.0,15.0,22.2,18.7,14.8
420,28.6,23.0,17.2,24.1,20.7,17.1
421,32.9,26.1,21.2,25.4,23.0,20.6
422,25.4,20.8,19.3,24.9,20.6,19.1
423,22.7,19.2,14.6,22.6,18.8,13.0
424,24.9,16.8,11.2,13.8,11.9,10.6
425,26.0,17.0,9.3,15.8,12.2,9.1
426,26.7,18.3,11.2,17.6,13.9,10.9
427,27.2,22.7,17.6,17.6,15.9,13.8
428,35.1,21.8,9.4,21.1,17.1,6.4
429,32.0,23.5,16.5,24.3,19.7,16.3
430,31.4,23.3,17.4,23.8,19.6,16.9
431,30.0,22.6,16.8,22.6,18.7,15.9
432,29.8,26.1,18.1,20.9,19.4,16.8
433,29.9,22.9,16.9,21.6,18.2,16.1
434,24.7,19.0,15.8,22.9,17.8,15.6
435,15.8,15.8,15.8,15.6,15.6,15.6
436,15.8,15.8,15.8,15.6,15.6,15.6
437,25.9,18.4,14.3,18.7,15.2,10.3
438,26.1,16.4,8.3,11.4,8.9,7.1
439,26.1,16.1,8.4,14.7,10.8,6.4
440,25.4,17.2,12.3,14.2,11.8,10.0
441,,,,,,
442,,,,,,
443,25.8,21.5,18.9,16.2,15.4,14.6
444,31.0,21.8,14.0,23.9,17.9,13.8
445,32.2,24.2,19.6,23.4,19.5,13.8
446,19.6,14.1,9.3,13.8,6.6,2.7
447,14.3,9.8,7.8,10.1,8.2,5.7
448,24.0,13.0,5.5,10.4,7.1,4.8
449,18.3,10.7,5.6,10.5,6.8,4.7
450,20.5,12.0,5.0,11.1,8.0,4.8
451,23.9,13.9,5.4,13.3,9.4,4.9
452,15.9,14.9,14.1,15.2,13.8,12.2
453,15.4,15.4,15.4,15.2,15.2,15.2
454,,,,,,
455,,,,,,
456,,,,,,
457,24.3,17.2,8.7,7.5,5.9,4.6
458,25.8,14.3,5.2,12.4,8.2,3.8
459,25.7,15.3,5.1,13.2,9.9,4.9
460,24.3,17.1,11.2,12.8,10.4,5.2
461,20.8,12.5,9.4,2.8,0.9,1.3
462,21.1,11.4,3.1,7.6,3.4,0.3
463,26.9,13.4,3.7,9.6,5.6,0.4
